Cost name	Cost subcategory	Item	Units	Unit cost	Default value (2022 USD)	Reference	URL
Specimen collection kit	N/A	Visors/face-shield	2	$7.99 	$15.98 	Communicable disease control in emergencies – A field manual (2005)	https://www.amazon.com/Safety-clear-shield-Protective-Shields/dp/B09CPY4968/ref=sr_1_10
Specimen collection kit	N/A	Sterile gauze swabs	2	$16.19 	$32.38 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100 swabs from Amazon	https://www.amazon.com/100pc-Large-Sterile-Gauze-Wounds/dp/B09VPRMM4K/ref=sr_1_6
Specimen collection kit	N/A	Alcohol-based disinfecting swabs	2	$4.99 	$9.98 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100 pads from Amazon	https://www.amazon.com/Alcohol-Individually-Sterilized-Antiseptic-Professional/dp/B08DDBHX3D/ref=sr_1_19
Specimen collection kit	N/A	Universal container	1	$190.10 	$190.10 	Communicable disease control in emergencies – A field manual (2005); cost for pack of 500	https://www.usplastic.com/catalog/item.aspx
Specimen collection kit	N/A	Alcoholic hand rub and dispensor	2	$3.49 	$6.98 	Communicable disease control in emergencies – A field manual (2005)	https://www.cvs.com/shop/cvs-health-instant-hand-sanitizer-prodid-1020522?skuid=783753&cgaa=QWxsb3dHb29nbGVUb0FjY2Vzc0NWU1BhZ2Vz
Specimen collection kit	N/A	Pencil	2	$0.21 	$0.42 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.21/pencil)	https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_6
Specimen collection kit	N/A	Eraser	2	$0.50 	$1.00 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.50/eraser)	https://www.amazon.com/Paper-Mate-Pearl-Erasers-Large/dp/B00094H4LU/ref=sr_1_5
Specimen collection kit	N/A	Felt-tip pen (waterproof)	2	$0.75 	$1.50 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.75/sharpie)	https://www.amazon.com/Permanent-Marker-Sharpie-Drying-Waterproof/dp/B07W2VM8M9/ref=sr_1_5
Specimen collection kit	N/A	"Notebook (A4 hard cover, squared paper)"	2	$16.99 	$33.98 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/SuperBowell-Hardcover-Notebook-Expandable-Certified/dp/B08QMVFT49/ref=sxin_25_ac_d_rm
Specimen collection kit	N/A	"Pack of labels (blank, self-adhesive)"	2	$6.99 	$13.98 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Avery-Self-Adhesive-Removable-Labels-05422/dp/B00007M5GI/ref=sr_1_5
Specimen collection kit	N/A	"Complete combination packaging for infectious substances, BIOPACK 2 with 1.5-litre BIOJAR (pack of 12)"	1	$490.03 	$490.03 	Communicable disease control in emergencies – A field manual (2005); cost online is $490.03 /pack of 12	https://www.fishersci.com/shop/products/biopack-2-1/501534815
Specimen collection kit	N/A	60 mL bottles (pack of 72)	1	$101.50 	$101.50 	"Tool assumption, Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (60 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
Specimen collection kit	N/A	250 mL bottles (pack of 72)	1	$177.30 	$177.30 	"Tool assumption, Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (250 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
Specimen collection kit	N/A	125 mL bottles (pack of 72)	1	$121.00 	$121.00 	"Tool assumption, Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (125 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
Specimen collection kit	N/A	500 mL bottles (pack of 72)	1	$176.80 	$176.80 	"Tool assumption, Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (500 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
Specimen collection kit	N/A	1 L bottles (pack of 72)	3	$136.10 	$408.30 	"Tool assumption, Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (1 L, case of 24 for $136.10)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
"Disinfection, decontamination, and vector control kit"	N/A	Sodium Hypochlorite solution 4-6%; 4 L	1	$39.00 	$39.00 	Cost of a 4L bottle of Sodium Hypochlorite solution 4-6%	https://www.laballey.com/products/sodium-hypochlorite-5-chlorine-lab?variant=40875718181019
"Disinfection, decontamination, and vector control kit"	N/A	Calcium hypochlorite powder	1	$259.95 	$259.95 	Cost of 22.7 kg Calcium hypochlorite powder	https://chemfulfillment.com/product/calcium-hypochlorite/
"Disinfection, decontamination, and vector control kit"	N/A	"LYSOL disinfectant cleaner, 3.8L"	1	$22.38 	$22.38 	Cost of 3.8L (1 gallon) concentrated LYSOL disinfectant cleaner	https://www.amazon.com/RAC76334-Professional-Disinfectant-Deodorizing-Cleaner/dp/B006UGU3M8
"Disinfection, decontamination, and vector control kit"	N/A	Permethrin EC (10% solution)	1	$20.99 	$20.99 	"Cost of Permethrin 10%, 32 oz"	https://www.californiapetpharmacy.com/permethrin-10-32-oz.html
"Disinfection, decontamination, and vector control kit"	N/A	Brodifacoum (Rodenticide) pellets	1	$133.99 	$133.99 	Cost of 7.3 kg Brodifacoum Final Rodenticide Place Packs (Brodifacoum 0.005%)	https://www.solutionsstores.com/final-rodenticide-place-packs#156=3124
"Disinfection, decontamination, and vector control kit"	N/A	Bromadiolone (Rodenticide) bait block	1	$95.50 	$95.50 	Cost of 8.2 kg Contrac All-Weather Blox Rodenticide - Bromadiolone 0.005% bait blocks 	https://www.pedchem.com/products/contrac-blox-rodenticide
"Disinfection, decontamination, and vector control kit"	N/A	Isopropyl alcohol solution; 70% 	1	$7.99 	$7.99 	Cost of 3.8L of Isopropyl Alcohol 70%	https://marystack.com/isopropyl-alcohol-70/?sku=145600-001
"Disinfection, decontamination, and vector control kit"	N/A	Antiseptic Liquid Soap	1	$22.99 	$22.99 	Cost of 3.8L of McKesson Antibacterial Soap Liquid	https://www.carewell.com/product/mckesson-antibacterial-soap-liquid/
"Disinfection, decontamination, and vector control kit"	N/A	Personal protective equipment (PPE)	10	$19.70 	$197.00 	Assume ten PPE kits	See unit costs
Microscopy and bacterial culture start up	Bacterial culture	CO2 Incubator	5	"$5,704.00 "	"$28,520.00 "	Cost of 45L Benchmark SureTherm CO2 Incubator	https://www.daigger.com/benchmark-suretherm-co2-incubators?q=EF43654
Microscopy and bacterial culture start up	Bacterial culture	Colony counter	2	$594.30 	"$1,188.60 "	Cost of  SP Bel-Art™ Colony Counter System with Mini LED Light Box and Magnifier 	https://www.fishersci.com/shop/products/colony-counter-system-mini-led-light-box-magnifier/07910025
Microscopy and bacterial culture start up	Bacterial culture	Anaerobic bacteria culture jars/CO2 packs	4	$402.50 	"$1,610.00 "	Cost of  Thermo Scientific™ AnaeroPack™ 7.0L Rectangular Jar 	https://www.fishersci.com/shop/products/anaeropack-7-0l-rectangular-jar/23246387
Microscopy and bacterial culture start up	Bacterial culture	Spectrophotometer	2	"$8,462.72 "	"$16,925.44 "	Cost of  Thermo Scientific™ BioMate™ 160 UV-Vis Spectrophotometer 	https://www.fishersci.com/shop/products/biomate-160-uv-vis-spectrophotometer-4/14385355#?keyword=
Microscopy and bacterial culture start up	Bacterial culture	Mass spectrometer	1	"$400,000.00 "	"$400,000.00 "	Anecdolate evidence	https://cen.acs.org/policy/Its-not-the-scientific-instrument-asked-it-asked-for/97/i33
Microscopy and bacterial culture start up	Bacterial culture	Orbital/shaker water bath	2	"$3,395.00 "	"$6,790.00 "	Cost of Barnstead MaxQ 7000 Water Bath Orbital Shaker 	https://www.marshallscientific.com/ProductDetails.asp?ProductCode=B-MaxQ7000
Microscopy and bacterial culture start up	Bacterial culture	BacTec FX Blood Culture System	1	"$25,100.00 "	"$25,100.00 "	Cost of BD™ BACTEC™ FX40 Automated Blood Culture System 	https://www.fishersci.com/shop/products/bd-bactec-fx40-automated-blood-culture-system/B442296
Microscopy and bacterial culture start up	Bacterial culture	Cepheid GeneXpert System	1	"$24,950.00 "	"$24,950.00 "	Cost of Cepheid GeneXpert GX-XVI Molecular Diagnostic Analyzer w/ x16 6-Color Modules	https://newlifescientific.com/products/cepheid-genexpert-gx-xvi-r2-diagnostic-molecular-analyzer-with-16-modules
Microscopy and bacterial culture start up	Microscopy	Fluorescent microscope	2	"$14,734.22 "	"$29,468.44 "	Cost of two fluorescent microscopes	"https://www.google.com/shopping/product/1?q=Fluorescent+microscope&prds=epd:17907334781347544912,eto:17907334781347544912_0,pid:17907334781347544912&sa=X&ved=0ahUKEwj4xPmp-vL6AhUCADQIHT5vDGMQ9pwGCAU"
Microscopy and bacterial culture start up	Microscopy	Compound microscope	4	"$3,540.00 "	"$14,160.00 "	Cost for 4 Fisherbrand™ Advanced Research Grade Upright Microscopes with camera attachment	https://www.thomassci.com/Instruments/Microscopes/_/DMi1-Inverted-Microscope?q=*
Microscopy and bacterial culture start up	Microscopy	Staining equipment	4	$324.70 	"$1,298.80 "	"Staining equipment ($197.10 for case of 3 staining dishes, $259.00 for stain bottles)"	https://www.fishersci.com/shop/products/fisher-scientific-surestain-stains-2/p-121871#?keyword=stain
Microscopy and bacterial culture recurring	Bacterial culture	Antibiotic sensitivity testing	"1,000.00"	$2.00 	"$2,000.00 "	"Cost of 1,000 antibiotic sensitivity tests ($2 per specimen), excluding personnel hour costs"	https://www.rothbioscience.com/products/copy-of-antibiotic-sensitivity-test-kit-pack-of-10
Microscopy and bacterial culture recurring	Bacterial culture	Growth and selective media plates	"1,000.00"	$2.50 	"$2,500.00 "	"Cost of 1,000 plates at an average of $2.50 per plate"	https://www.carolina.com/catalog/detail.jsp
Microscopy and bacterial culture recurring	Bacterial culture	Media slants	"1,000.00"	$2.34 	"$2,340.00 "	"Cost of 1,000 media slants at an average of $2.34 per slant"	https://www.carolina.com/catalog/detail.jsp
Microscopy and bacterial culture recurring	Bacterial culture	"BacTec automated culture prepared media, Aerobic F Plus/Anerobic F Plus/Peds F Plus) (100 tests each with 2 bottles)"	"1,000.00"	$7.78 	"$7,780.00 "	"Cost of BD BACTEC Blood Culture Media Standard/Anaerobic/F Culture Vial at $388.95 per pack of 50 x average of 2 bottles per patient, for 500 patients"	
Microscopy and bacterial culture recurring	Bacterial culture	API 20E anaerobic testing strips	"1,000.00"	$20.12 	"$20,120.00 "	"Cost of 1,000 strips in API® 20 E Gram-negative Microbial Identification Kit (costed kit is pack of 100 for $2,012.83)"	https://us.vwr.com/store/product/11745179/api-20-microbial-identification-kits-biomerieux
Microscopy and bacterial culture recurring	Bacterial culture	AP 20E Comprehensive QC Set (12 sets)	12	$621.00 	"$7,452.00 "	Cost of Microbiologics™ API™ 20E Comprehensive QC Set for testing QC	https://www.fishersci.com/shop/products/microbiologics-api-20e-comprehensive-qc-set/23002563
Microscopy and bacterial culture recurring	Bacterial culture	"BacTec automated culture prepared media for TB, Myco F Lytic"	"1,000.00"	$16.67 	"$16,670.00 "	"Cost of 1,000 vials of BD™ Bactec™ Media: Myco/F Lytic  ($833.50 / Pack of 50)"	https://iremedy.com/medline-BDD442288H
Microscopy and bacterial culture recurring	Bacterial culture	Cepheid GeneXpert MTB/RIF cartridges	"1,000.00"	$168.60 	"$168,600.00 "	"Cost of 100 tests using Cepheid GeneXpert MTB/RIF cartridges (cost $1,026.95/10 tests)"	 https://iremedy.com/medline-CEQGXMTBRIF10
Microscopy and bacterial culture recurring	Microscopy	Microscope slides - frosted end (pack of 144)	100	$218.00 	"$21,800.00 "	"Cost of Fisherbrand™ Superfrost™ Excell™ Microscope Slides, $218.50 / Pack of 144 "	https://www.fishersci.com/shop/products/fisherbrand-superfrost-excell-microscope-slides-1/22034985
Microscopy and bacterial culture recurring	Microscopy	Aqueous mounting medium for fluorescence (30 mL)	100	$58.00 	"$5,800.00 "	"Cost of Mounting Medium, AquaSlip 30mL"	https://medicalproductssupply.com/mounting-medium-aqualsip-aqueous-30ml.html
Microscopy and bacterial culture recurring	Microscopy	"Cover slips, 24 x 60 mm (1 oz. pack)"	100	$21.01 	"$2,101.00 "	"Cost of Cover Slip, Rectangular, 24 x 60mm, 1oz/Pkg"	https://www.thomassci.com/Laboratory-Supplies/Microscope-Cover-Glass/_/Square-Cover-Slips?q=1139W00
Microscopy and bacterial culture recurring	Microscopy	Mounting medium (500 mL)	100	$135.90 	"$13,590.00 "	Cost of Fisher Chemical™ Permount™ Mounting Medium  (500mL)	https://www.fishersci.com/shop/products/fisher-chemical-permount-mounting-medium/SP15500
Microscopy and bacterial culture recurring	Microscopy	Gram stain kit	100	$35.65 	"$3,565.00 "	Cost of Fisher Scientific Gram Stain Kit 	https://www.fishersci.com/shop/products/fisher-science-education-gram-stain-kit/S25344
Microscopy and bacterial culture recurring	Microscopy	Giemsa stain	100	$66.65 	"$6,665.00 "	Cost of 1g Giemsa Stain ($66.65/g)	https://www.labdepotinc.com/p-17727-giemsa-stain-certified?cat_code=GI120-1GM
Microscopy and bacterial culture recurring	Microscopy	Methylene Blue stain	50	$28.75 	"$1,437.50 "	"Cost of Methylene Blue Staining Solution, 0.2% in 25% Ethanol, Laboratory Grade, 500 mL"	https://www.carolina.com/catalog/detail.jsp?prodId=875915&srsltid=AR5OiO0FYXNHNLaohqtvlWYk8TDeNpsnuPJ6B8S02qDcywkpyzhBVzfdvvw
Microscopy and bacterial culture recurring	Microscopy	India ink	100	$17.72 	"$1,772.00 "	"Cost of India Ink, dropper bottle, 15mL"	https://www.thomassci.com/Chemicals/Stains-Dyes/_/India-Ink1
Microscopy and bacterial culture recurring	Microscopy	Ziehl-Neelson stain	100	$3.31 	$331.00 	"Cost of Carbol Fuchsin (Ziehl Neelsen) Solution, 30mL"	https://www.geyerinstructional.com/carbol-fuchsin-ziehl-neelsen-solution-30ml.html
"Virus culture, serology, and PCR start up"	PCR	UV-transilluminator	1	"$1,396.00 "	"$1,396.00 "	Cost of Syngene™ Benchtop UV Transilluminator	https://www.fishersci.com/shop/products/benchtop-uv-transilluminator/01257175#
"Virus culture, serology, and PCR start up"	PCR	Refrigerated microcentrifuge	1	"$8,148.35 "	"$8,148.35 "	Cost of Eppendorf™ Microcentrifuge 5430 with knob controller	https://www.fishersci.com/shop/products/eppendorf-microcentrifuge-5430-5430-r-9/p-4668463#
"Virus culture, serology, and PCR start up"	PCR	Microwave with turntable (for agarose)	1	$123.99 	$123.99 	Cost of Stainless Steel Panasonic Inverter Microwave 	https://www.target.com/p/panasonic-1-2-inverter-microwave-stainless-steel-nn-sn67hs/-/A-52689506
"Virus culture, serology, and PCR start up"	PCR	"Gel electrophoresis casting tray, electrophoresis unit, and power source (8-150 samples)"	3	"$1,561.00 "	"$4,683.00 "	"Cost of Thermo Scientific™ Owl™ A1 Large Gel System with buffer ports, sample size 8-150"	https://www.fishersci.com/shop/products/owl-a1-large-gel-system/p-4528898
"Virus culture, serology, and PCR start up"	PCR	Digital gel documentation system	1	"$1,780.00 "	"$1,780.00 "	Cost of Cost of Invitrogen™ E-Gel™ Power Snap Camera 	https://www.fishersci.com/shop/products/e-gel-power-snap-camera/G8200
"Virus culture, serology, and PCR start up"	PCR	FAST Real-time RT PCR system with tower	1	"$623,000.00 "	"$623,000.00 "	Approximate cost of Applied Biosystems™ 7500 Fast Real-Time PCR System	https://www.fishersci.com/shop/products/7500-fast-real-time-pcr-system-laptop/4351106
"Virus culture, serology, and PCR start up"	PCR	PCR Thermocycler (conventional)	1	"$17,846.00 "	"$17,846.00 "	"Based on cost of  Applied Biosystems™ ProFlex™ PCR System, 2 x 384-well "	https://www.fishersci.com/shop/products/proflex-pcr-system-extended-warranty-package-2-x-384-well/A30757#
"Virus culture, serology, and PCR start up"	PCR	ABI 3500 Genetic Analyzer	1	"$105,000.00 "	"$105,000.00 "	messaged Thermoscientific	
"Virus culture, serology, and PCR start up"	Serology	"ELISA system (reader, washer, incubator, printer)"	2	"$17,367.00 "	"$34,734.00 "	"Cost of AgileWasher™ ELISA Plate Washer ($8,173.36) and AgileReader™ ELISA Plate Readers ($9,193.64)"	https://www.thomassci.com/Instruments/Spectrophotometers/_/AgileReader-ELISA-Plate-Readers?q=eliza%20reader
"Virus culture, serology, and PCR start up"	Virus culture	Inverted light microscope	2	"$3,740.00 "	"$7,480.00 "	Cost of Fisherbrand™ Entry Level Research Grade Inverted Microscope 	https://www.fishersci.com/shop/products/entry-level-research-grade-inverted-microscope/03000013
"Virus culture, serology, and PCR start up"	Virus culture	Counting chamber	10	$188.17 	"$1,881.70 "	Cost of Corning™ Counting Chamber for Corning Cell Counter ( $188.17 / Case of 1 )	https://www.fishersci.com/shop/products/counting-chamber-corning-cell-counter/07202554#?keyword=Counting%20chamber
"Virus culture, serology, and PCR start up"	Virus culture	Liquid nitrogen container (for reserve nitrogen)	2	"$1,047.00 "	"$2,094.00 "	"Cost of  Thermo Scientific™ Thermo-Flask™ Benchtop Liquid Nitrogen Containers (4.5L), With carrying handle and vented secure lid"	https://www.fishersci.com/shop/products/thermo-flask-benchtop-liquid-nitrogen-containers/p-4530729#?keyword=Liquid%20nitrogen%20container
"Virus culture, serology, and PCR start up"	Virus culture	Liquid nitrogen storage system - low evaporation	2	"$1,377.30 "	"$2,754.60 "	"Cost of Liquid Nitrogen Storage Dewars ($1,377.30/10L Dewar)"	https://www.thomassci.com/Laboratory-Supplies/Cryogenic-Storage-Containers/_/Liquid-Nitrogen-Storage-Dewars?q=1158P14
"Virus culture, serology, and PCR start up"	Virus culture	Media filtration system and accessories	10	$200.00 	"$2,000.00 "	Cost of Corning Disposable Vacuum Filtration Systems in various sizes ( average of ~$200/case of 12)	https://www.coleparmer.com/p/corning-disposable-vacuum-filtration-systems/14615
"Virus culture, serology, and PCR start up"	Virus culture	CO2 Incubator	5	"$1,700.00 "	"$8,500.00 "	Cost of 45L Benchmark SureTherm CO2 Incubator	https://www.daigger.com/benchmark-suretherm-co2-incubators?q=EF43654
"Virus culture, serology, and PCR recurring"	PCR	Viral DNA/RNA Purification Kit (1000 ractions)	1	"$5,120.00 "	"$5,120.00 "	Based on cost of  Thermo Scientific™ GeneJET Viral DNA/RNA Purification Kit ($256.00/50 preps)	https://www.fishersci.com/shop/products/fermentas-genejet-viral-dna-rna-purification-kit/FERK0821
"Virus culture, serology, and PCR recurring"	PCR	TaqMan Universal PCR Master Mix (1000 reactions)	1	"$3,150.00 "	"$3,150.00 "	Based on cost of TaqMan Universal PCR Master Mix ($630.00/200 reactions)	https://www.fishersci.com/shop/products/applied-biosystems-taqman-universal-pcr-master-mix-9/4304437
"Virus culture, serology, and PCR recurring"	PCR	QIAGEN OneStep RT-PCR kit  (1000 reactions)	1	"$4,760.00 "	"$4,760.00 "	Based on cost of Accuris One-Step RT-PCR Kit ($476/100 reactions)	https://www.stellarscientific.com/accuris-one-step-rt-pcr-kit-100-rxns/
"Virus culture, serology, and PCR recurring"	PCR	RNase inhibitor - 20U/μl (1000 reactions)	1	"$1,050.00 "	"$1,050.00 "	Based on cost of Applied Biosystems™ RNase Inhibitor ($105/100 reactions)	https://www.fishersci.com/shop/products/applied-biosystems-rnase-inhibitor/N8080119
"Virus culture, serology, and PCR recurring"	PCR	Sterile plates for PCR - 4 packs of 25	1	$675.20 	$675.20 	"Based on cost of  Thermo Scientific™ PCR Plate, 96-well, low profile, skirted, black ($168.80/pack of 25)"	https://www.fishersci.com/shop/products/thermo-scientific-thermo-fast-96-well-full-skirted-plates-2/AB0800K#
"Virus culture, serology, and PCR recurring"	PCR	Microcentrifuge tubes - 0.2 mL (case of 1000)	1	$126.10 	$126.10 	Cost of 1000 Fisherbrand™ 0.2mL PCR Tubes 	https://www.fishersci.com/shop/products/fisherbrand-0-2ml-flat-domed-cap-pcr-tubes/14230206
"Virus culture, serology, and PCR recurring"	PCR	Microcentrifuge tubes - 0.5 mL (case of 1000)	1	$117.40 	$117.40 	"Cost of 1000 Thermo Scientific™ Tubes, 0.5 mL, flat cap "	https://www.fishersci.com/shop/products/0-5-ml-individual-tubes-1/AB0350#
"Virus culture, serology, and PCR recurring"	PCR	Mcrocentrifuge tubes - 1.5 mL (case of 960)	1	$137.50 	$137.50 	"Cost of 1000 Invitrogen™ RNase-free Microfuge Tubes, 0.5 mL (2 packs of 500)"	https://www.fishersci.com/shop/products/ambion-rnase-free-microfuge-tubes-1-5ml/AM12400
"Virus culture, serology, and PCR recurring"	PCR	"Filtered pipette tips, 0.2-10 uL (case of 960)"	1	$339.50 	$339.50 	"Cost of Finntip Filter Micro 10µL, sterile (pack of 960)"	https://www.fishersci.com/shop/products/finntip-filtered-pipette-tips/p-4525513#
"Virus culture, serology, and PCR recurring"	PCR	"Filtered pipette tips, 2-20 uL (case of 960)"	1	$261.00 	$261.00 	"Cost of Finntip Filter Micro 20µL, sterile (pack of 960)"	https://www.fishersci.com/shop/products/finntip-filtered-pipette-tips/p-4525513#
"Virus culture, serology, and PCR recurring"	PCR	"Filtered pipette tips, 1-200 μL (case of 960)"	1	$24.10 	$24.10 	Cost of Fisherbrand™ Standard Pipette Tips (1 to 200 μL)	https://www.fishersci.com/shop/products/fisherbrand-standard-pipette-tips-4/p-3206508
"Virus culture, serology, and PCR recurring"	PCR	"Filtered pipette tips, 100-1000 μL (case of 1000)"	1	$85.10 	$85.10 	"Cost of Fisherbrand™ Standard Pipette Tips (pack of 1000), (100 to 1000 μL)"	https://www.fishersci.com/shop/products/fisherbrand-standard-pipette-tips-2/026814
"Virus culture, serology, and PCR recurring"	PCR	Pipette Tip Recycle Box	1	$59.40 	$59.40 	Cost of  Fisherbrand™ Pipette Tip Recycle Box ($297.00/pack of 5)	https://www.fishersci.com/shop/products/fisher-scientific-pipette-tip-box-recycling-program/01000999
"Virus culture, serology, and PCR recurring"	PCR	20 PCR tube racks	1	$348.00 	$348.00 	Cost of 20 Fisherbrand™ 96-Well PCR™ Tube Racks ($87/5 pack)	https://www.fishersci.com/shop/products/polypropylene-pcr-tube-rack/0344820#?keyword=pcr%20tube%20rack
"Virus culture, serology, and PCR recurring"	PCR	BigDye® Terminator v3.1 Cycle Sequencing Kit (1000 reactions)	1	"$11,890.00 "	"$11,890.00 "	Cost of  Applied Biosystems™ BigDye™ Terminator v3.1 Cycle Sequencing Kit (1000 reactions)	https://www.fishersci.com/shop/products/bigdye-terminator-v3-1-cycle-sequencing-kit/4337456
"Virus culture, serology, and PCR recurring"	PCR	3500 POP 7 Polymer (1000 samples)	1	"$1,132.00 "	"$1,132.00 "	Cost of  Applied Biosystems™ POP-7™ Polymer for 3130/3130xl Genetic Analyzers  ($283.00/250 samples/3.5ml)	https://www.fishersci.com/shop/products/pop-7-polymer-for-3130-3130xl-genetic-analyzers-1/4363785
"Virus culture, serology, and PCR recurring"	PCR	Sequencing standard 3500 series	1	$354.00 	$354.00 	"Cost of  Applied Biosystems™ Sequencing Standard, BigDye™ Terminator v1.1, for 3500/SeqStudio™ Flex "	https://www.fishersci.com/shop/products/3500-3500xl-bigdye-terminator-v1-1-sequencing-standards-1/4404314
"Virus culture, serology, and PCR recurring"	PCR	3500 capillary array	1	"$1,760.00 "	"$1,760.00 "	"Cost of Applied Biosystems™ 3500 Genetic Analyzer 8-Capillary Array, 50 cm "	https://www.fishersci.com/shop/products/8-capillary-array-for-3500-genetic-analyzer/4404685
"Virus culture, serology, and PCR recurring"	PCR	Cathode buffer container 3500 series	1	$202.00 	$202.00 	"Cost of Applied Biosystems™ Cathode Buffer Container (CBC), for 3500/SeqStudio™ Flex "	https://www.fishersci.com/shop/products/cathode-buffer-container-for-3500-series-genetic-analyzers/4408256
"Virus culture, serology, and PCR recurring"	PCR	Anode buffer container 3500 series	1	$315.00 	$315.00 	Cost of Applied Biosystems™ Anode Buffer Container (ABC) for 3500 Series Systems for Protein Quality Analysis 	https://www.fishersci.com/shop/products/anode-buffer-container-abc-for-3500-series-systems-protein-quality-analysis/A31278
"Virus culture, serology, and PCR recurring"	PCR	Conditioning reagent 3500 series	1	$52.50 	$52.50 	Cost of Conditioning Reagent (LabChem 500 mL)	https://www.coleparmer.com/i/labchem-conditioning-reagent-for-sulfate-500-ml/8001531
"Virus culture, serology, and PCR recurring"	Serology	ELISA reagents and kits (annual estimate =~ 25% of system cost)	1	"$5,000.00 "	"$5,000.00 "	"Assume ELISA reagents and kits costs approximately 25% of system cost, annually"	Tool assumption
"Virus culture, serology, and PCR recurring"	Serology	Polystyrene microtiter plates (80)	1	$742.00 	$742.00 	Cost of Greiner Bio-One μClear™ Bottom 96-well Polystyrene Microplates ( $371.00 / Case of 40)	https://www.fishersci.com/shop/products/clear-bottom-96-well-polystyrene-microplates/07000088
"Virus culture, serology, and PCR recurring"	Serology	"Pipette tips (ART), 2-20 uL (960)"	1	$251.00 	$251.00 	"Cost of ART 10 REACH, Filtered, Sterile, Hinged Rack (10 μL,  Pack of 960 for $251.00)"	https://www.fishersci.com/shop/products/art-barrier-pipette-tips-1000xl-lr-hinged-rack/02682269
"Virus culture, serology, and PCR recurring"	Serology	"Pipette tips (ART), 10-200 uL (768)"	1	$249.00 	$249.00 	"Cost of ART Barrier, Filtered, Sterile, Hinged Rack (200 μL,  Pack of 768 for $249.00)"	https://www.fishersci.com/shop/products/art-barrier-pipette-tips-1000xl-lr-hinged-rack/02682269
"Virus culture, serology, and PCR recurring"	Serology	"Pipette tips (ART), 200-1000 uL (768)"	1	$318.00 	$318.00 	"Cost of Thermo Scientific™ ART™ Barrier Extended Length Pipette Tips (1000 μL, $318.00 / Pack of 768)"	https://www.fishersci.com/shop/products/art-barrier-pipette-tips-1000xl-lr-hinged-rack/02682269
"Virus culture, serology, and PCR recurring"	Serology	Anti-mouse IgG FITC conjugate	50	$378.00 	"$18,900.00 "	"Cost of CD155 Mouse anti-Human, FITC, Clone: 2H7CD155, eBioscience™ Invitrogen™  ($306.00 / 100 Tests)"	https://www.fishersci.com/shop/products/cd155-mouse-anti-human-fitc-clone-2h7cd155-ebioscience-invitrogen/11155042
"Virus culture, serology, and PCR recurring"	Virus culture	60 mL bottles (case of 72)	50	$101.50 	"$5,075.00 "	"Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (60 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
"Virus culture, serology, and PCR recurring"	Virus culture	250 mL bottles (case of 72)	50	$177.30 	"$8,865.00 "	"Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (250 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
"Virus culture, serology, and PCR recurring"	Virus culture	125 mL bottles (case of 72)	50	$121.00 	"$6,050.00 "	"Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (125 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
"Virus culture, serology, and PCR recurring"	Virus culture	500 mL bottles (case of 72)	50	$176.80 	"$8,840.00 "	"Cost of Thermo Scientific™ Nalgene™ Narrow-Mouth HDPE Economy Bottles (500 mL, case of 72)"	https://www.fishersci.com/shop/products/nalgene-narrow-mouth-hdpe-economy-bottles/033132F#
